[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-21 13:11:30] Saving 15 values; 273 bytes
[2023-01-21 13:11:33] Saving 15 values; 273 bytes
[2023-01-21 13:11:33] Saving 15 values; 273 bytes
[2023-01-21 13:11:33] Saving 15 values; 273 bytes
[2023-01-21 13:11:33] Saving 15 values; 273 bytes
[2023-01-21 13:11:34] Saving 15 values; 273 bytes
[2023-01-21 13:11:34] Saving 15 values; 273 bytes
[2023-01-21 13:11:35] Saving 16 values; 293 bytes
[2023-01-21 13:11:35] Saving 17 values; 321 bytes
[2023-01-21 13:11:36] Saving 18 values; 335 bytes
[2023-01-21 13:11:36] Saving 18 values; 335 bytes
[2023-01-21 13:11:38] Saving 19 values; 348 bytes
[2023-01-21 13:11:40] Saving 19 values; 351 bytes
[2023-01-21 13:11:44] Saving 19 values; 351 bytes
[2023-01-21 13:11:47] Loaded 19 values
[2023-01-21 13:11:47] Backed up /home/kyle/.local/share/Mindustry/settings.bin to /home/kyle/.local/share/Mindustry/settings_backup.bin (351 bytes)
[2023-01-21 13:11:50] Saving 19 values; 351 bytes
[2023-01-21 13:11:51] Saving 19 values; 351 bytes
[2023-01-21 13:12:05] Saving 20 values; 369 bytes
[2023-01-21 13:12:08] Saving 20 values; 369 bytes
[2023-01-21 13:12:08] Saving 21 values; 394 bytes
[2023-01-21 13:12:08] Saving 22 values; 459 bytes
[2023-01-21 13:12:08] Saving 22 values; 459 bytes
[2023-01-21 13:12:24] Saving 806 values; 25488 bytes
[2023-01-21 13:12:46] Saving 807 values; 25513 bytes
[2023-01-21 13:12:49] Saving 807 values; 25513 bytes
[2023-01-21 13:13:23] Saving 807 values; 25513 bytes
[2023-01-21 13:13:45] Saving 809 values; 25553 bytes
[2023-01-21 13:13:47] Saving 810 values; 25583 bytes
[2023-01-21 13:13:48] Saving 811 values; 25605 bytes
[2023-01-21 13:13:51] Saving 812 values; 25629 bytes
[2023-01-21 13:13:51] Saving 813 values; 25646 bytes
[2023-01-21 13:13:53] Saving 814 values; 25670 bytes
[2023-01-21 13:13:54] Saving 814 values; 25670 bytes
[2023-01-21 13:13:56] Saving 814 values; 26261 bytes
[2023-01-21 13:14:03] Saving 814 values; 26261 bytes
[2023-01-21 13:14:07] Saving 814 values; 26261 bytes
[2023-01-21 13:14:15] Saving 815 values; 26285 bytes
[2023-01-21 13:14:22] Saving 815 values; 26285 bytes
[2023-01-21 13:14:53] Saving 815 values; 26285 bytes
[2023-01-21 13:15:56] Saving 816 values; 26324 bytes
[2023-01-21 13:16:58] Saving 816 values; 26308 bytes
[2023-01-21 13:17:18] Saving 816 values; 26324 bytes
[2023-01-21 13:17:19] Saving 816 values; 26324 bytes
[2023-01-21 13:17:23] Loaded 816 values
